player,position,team,upper,lower,points,sdPts,positionRank,dropoff,tier,sdRank,risk,,,
Trevon Bradford,WR,OREGST,7.2,7.2,8.7,,,8,0.01,28,0.36,,,
Emeka Emezie,WR,NCST,7.1,7.1,8.7,,,0,0,38,0.34,,,
Tyre McCants,WR,SFLA,7.3,7.3,8.7,,,4,0,38,0.31,,,
Boston College,DEF,BC,10.5,8.7,8.7,,,0,0,0,0,23.6,2.67,0.98
Danny Davis,WR,WISC,7.1,7.1,8.6,,,3,0,40,0.21,,,
Kaden Smith,TE,STNFRD,6.7,6.7,8.6,,,0,0,43,0.09,,,
D'Andre Ferby,RB,WKY,7.5,7.5,8.6,,,30,0.37,12,0.08,,,
DeeJay Dallas,WR,MIAMI,8.3,8.3,8.6,,,44,0.34,12,0.06,,,
Otis Anderson,WR,UCF,7.6,7.6,8.6,,,25,0.28,14,0.23,,,
Jerry Howard,RB,GATECH,8.1,8.1,8.6,,,52,0.4,5,0.03,,,
Michigan,DEF,MICH,10.3,8.6,8.6,,,0,0,0,0,23.4,3.08,0.96
Shi Smith,WR,SC,7.1,7.1,8.6,,,0,0,44,0.23,,,
Mecole Hardman,WR,UGA,6.8,6.8,8.6,,,4,0.02,38,0.24,,,
Memphis,DEF,MEMP,10.1,8.6,8.6,,,0,0,0,0,25.7,1.79,1.16
Irv Smith Jr.,TE,BAMA,7.3,7.3,8.5,,,0,0,39,0.37,,,
Michigan State,DEF,MICHST,10.4,8.5,8.5,,,0,0,0,0,17.9,2.03,1.06
Hunter Renfrow,WR,CLEM,6.8,6.8,8.5,,,0,0,39,0.22,,,
Anthony Schwartz,WR,AUBURN,7.8,7.8,8.5,,,16,0.3,26,0.18,,,
Georgia Southern,DEF,GAS,10.5,8.5,8.5,,,0,0,0,0,25.1,1.58,1.25
Trenton Irwin,WR,STNFRD,6.2,6.2,8.5,,,0,0,37,0.1,,,
Leddie Brown,RB,WVU,7.4,7.4,8.4,,,30,0.37,15,0.1,,,
Connor Heyward,RB,MICHST,7.4,7.4,8.4,,,27,0.36,14,0.02,,,
Seth Green,WR,MINN,8.2,8.2,8.4,,,20,0.84,6,0.05,,,
Tavien Feaster,RB,CLEM,7.9,7.9,8.4,,,47,0.38,5,0.03,,,
Artur Sitkowski,QB,RUT,8.1,8.1,8.4,181,0.88,0,0.02,0,0,,,
Taysir Mack,WR,PITT,6.8,6.8,8.4,,,0,0,46,0.13,,,
Xavier Jones,RB,SMU,7.5,7.5,8.4,,,31,0.28,14,0.11,,,
Garrett Groshek,RB,WISC,7.3,7.3,8.4,,,37,0.14,15,0.12,,,
Cornelius McCoy,WR,GAST,6.6,6.6,8.4,,,0,0,41,0.21,,,
Dennis Robinson,WR,NILL,6.9,6.9,8.4,,,0,0,32,0.38,,,
Josh Jacobs,RB,BAMA,7.9,7.9,8.4,,,32,0.53,10,0.02,,,
Al'Dontre Davis,WR,TCU,6.5,6.5,8.4,,,0,0,40,0.13,,,
D'Vonte Price,RB,FIU,7.6,7.6,8.3,,,42,0.34,8,0.02,,,
Maurice Washington,RB,NEB,7.1,7.1,8.3,,,32,0.18,17,0.02,,,
Tre Hartley,WR,SJST,6.8,6.8,8.3,,,0,0,40,0.22,,,
Fred Trevillion,WR,SDGST,6.9,6.9,8.3,,,2,0,48,0.12,,,
Southern Methodist,DEF,SMU,10.8,8.3,8.3,,,0,0,0,0,37,2.26,1.82
James Price,WR,WYO,7.1,7.1,8.3,,,-1,0,42,0.3,,,
Shadell Bell,TE,CLEM,6.9,6.9,8.3,,,0,0,27,0.47,,,
Bruno Labelle,TE,CINCY,6.3,6.3,8.3,,,0,0,36,0.14,,,
Darnell Salomon,WR,SFLA,7.3,7.3,8.2,,,0,0,32,0.54,,,
Ventell Bryant,WR,TEMPLE,6.6,6.6,8.2,,,0,0,44,0.12,,,
South Alabama,DEF,SALA,10.9,8.2,8.2,,,0,0,0,0,38.8,2.63,1.97
Appalachian State,DEF,APLST,9.6,8.2,8.2,,,0,0,0,0,23.2,2.75,0.7
Samson Nacua,WR,UTAH,6.7,6.7,8.2,,,0,0,36,0.29,,,
Isaiah Zuber,WR,KSTATE,6.3,6.3,8.1,,,0,0,36,0.24,,,
Austin Fort,TE,WYO,7.3,7.3,8.1,,,1,0.08,29,0.5,,,
Jaqwis Dancy,RB,LATECH,7.4,7.4,8.1,,,42,0.26,9,0.04,,,
Van Jefferson,WR,FLA,6.7,6.7,8.1,,,1,0,37,0.27,,,
Hutch White,WR,TXSTSM,6,6,8.1,,,0,0,32,0.26,,,
Alize Mack,TE,ND,6.3,6.3,8.1,,,0,0,35,0.18,,,
Napoleon Maxwell,RB,FIU,7.6,7.6,8.1,,,51,0.31,3,0.02,,,
Marquez Callaway,WR,TENN,6.4,6.4,8.1,,,0,0,47,0.15,,,
Dayton Furuta,RB,HAWAII,6.8,6.8,8.1,,,36,0.25,12,0.11,,,
Ty Jones,WR,WASH,7,7,8.1,,,0,0,38,0.36,,,
Austin Maloney,WR,FIU,6.9,6.9,8.1,,,0,0,38,0.32,,,
Keynan Foster,WR,UTEP,7,7,8.1,,,3,0.01,39,0.29,,,
Kasim Hill,QB,MD,7.7,7.7,8.1,137,0.98,-1,0.01,0,0,,,
Kendrick Edwards,WR,ARKST,6.9,6.9,8,,,0,0,34,0.41,,,
Eric Kumah,WR,VATECH,6.6,6.6,8,,,0,0,38,0.23,,,
Johnathan Lloyd,WR,DUKE,6.4,6.4,8,,,0,0,33,0.25,,,
Bryce Williams,RB,MINN,7.3,7.3,8,,,60,0.14,6,0.02,,,
Spencer Tears,WR,NILL,6.5,6.5,8,,,0,0,33,0.28,,,
Middle Tennessee,DEF,MTSU,10,8,8,,,0,0,0,0,21.6,2.44,0.81
CT Thomas,WR,BOISE,6.5,6.5,8,,,2,0,34,0.21,,,
Johnathon Johnson,WR,MIZZOU,6.5,6.5,8,,,1,0,41,0.19,,,
Devon Spalding,RB,CMICH,6.8,6.8,7.9,,,29,0.24,17,0.02,,,
Raghib Ismail Jr.,WR,WYO,6.5,6.5,7.9,,,1,0.01,37,0.22,,,
Tez Parks,RB,USM,6.9,6.9,7.9,,,26,0.28,15,0.12,,,
Demetric Felton,WR,UCLA,6.6,6.6,7.9,,,6,0.06,33,0.18,,,
Washington,DEF,WASH,9.5,7.9,7.9,,,0,0,0,0,17.1,1.82,0.74
Corey Lacanaria,WR,BALLST,6.2,6.2,7.9,,,0,0,36,0.19,,,
B.J. Daniels,RB,TXSA,7.2,7.2,7.9,,,37,0.33,9,0.06,,,
Darrell Langham,WR,MIAMI,6.7,6.7,7.9,,,0,0,35,0.34,,,
Darrell Stewart Jr.,WR,MICHST,6.5,6.5,7.9,,,6,0.01,34,0.16,,,
Jordan Asberry,RB,ARMY,7.5,7.5,7.9,,,16,0.12,13,0.61,,,
Najee Harris,RB,BAMA,7.5,7.5,7.9,,,53,0.3,2,0.02,,,
Army,DEF,ARMY,9.9,7.9,7.9,,,0,0,0,0,21.7,1.28,0.67
Houston,DEF,HOU,10.2,7.9,7.9,,,0,0,0,0,28.9,2.4,1.31
Scotty Washington,WR,WAKE,6.6,6.6,7.9,,,0,0,37,0.28,,,
Rice,DEF,RICE,9.8,7.9,7.9,,,0,0,0,0,19.6,2.35,0.81
Stephon Robinson Jr.,WR,KANSAS,6,6,7.8,,,0,0,36,0.12,,,
Andrew Beck,TE,TEXAS,6.2,6.2,7.8,,,0,0,34,0.2,,,
Ben Glines,WR,BC,7.3,7.3,7.8,,,41,0.29,9,0.11,,,
Ivory Kelly-Martin,RB,IOWA,7.1,7.1,7.8,,,39,0.22,10,0.08,,,
Taivon Jacobs,WR,MD,6.3,6.3,7.8,,,2,0.01,32,0.23,,,
Javen Banks,WR,TXSTSM,6.7,6.7,7.8,,,0,0.06,32,0.34,,,
Dillon Stoner,WR,OKLAST,6.5,6.5,7.7,,,0,0,36,0.26,,,
Zach Abey,RB,NAVY,7.6,7.6,7.7,,,40,0.59,1,0.03,,,
Javonis Isaac,TE,ARKST,6.1,6.1,7.7,,,0,0,34,0.33,,,
Illinois,DEF,ILL,9.9,7.7,7.7,,,0,0,0,0,26.5,1.6,1.51
Romello Brooker,TE,HOU,6.4,6.4,7.7,,,0,0,32,0.34,,,
Arizona State,DEF,ARIZST,9.8,7.7,7.7,,,0,0,0,0,28.5,2.75,0.77
Trent Pennix,RB,NCST,7,7,7.7,,,27,0.1,16,0.24,,,
Jordon Brown,RB,UNC,6.8,6.8,7.7,,,29,0.33,10,0.02,,,
Matthew Eaton,WR,IOWAST,6.2,6.2,7.7,,,0,0,33,0.26,,,
Georgia Tech,DEF,GATECH,9.7,7.7,7.7,,,0,0,0,0,26.8,1.33,1.33
Kadin Remsberg,RB,AF,6.8,6.8,7.7,,,54,0.12,2,0.15,,,
Charlie Kolar,TE,IOWAST,6.5,6.5,7.6,,,0,0,29,0.44,,,
Darius Pinnix,RB,ECU,6.7,6.7,7.6,,,27,0.19,19,0.02,,,
Cam Chambers,WR,MICHST,6.3,6.3,7.6,,,0,0,44,0.12,,,
Maryland,DEF,MD,9.4,7.6,7.6,,,0,0,0,0,22.2,1.67,1.18
Isaiah Bowser,RB,NWEST,6.7,6.7,7.6,,,31,0.29,10,0.05,,,
California,DEF,CAL,9.9,7.6,7.6,,,0,0,0,0,30.2,2.23,1.65
Tavonn Salter,WR,MTSU,6,6,7.6,,,0,0,37,0.13,,,
Lee Morris,WR,OKLA,6.8,6.8,7.6,,,0,0,31,0.5,,,
Renard Bell,WR,WASHST,6.2,6.2,7.6,,,0,0,29,0.35,,,
Oklahoma,DEF,OKLA,9.9,7.5,7.5,,,0,0,0,0,28.9,2.17,1.6
Branden Mack,WR,TEMPLE,6.2,6.2,7.5,,,0,0,29,0.33,,,
Cameron Odom,WR,OHIO,6.3,6.3,7.5,,,0,0,40,0.18,,,
Jeff Smith,WR,BC,6.7,6.7,7.5,,,13,0.09,28,0.21,,,
Marcus Jones,RB,NILL,6.7,6.7,7.5,,,40,0.23,6,0.02,,,
Mekhi Sargent,RB,IOWA,7.2,7.2,7.5,,,40,0.37,6,0.02,,,
Cade Otton,TE,WASH,6.2,6.2,7.5,,,0,0,35,0.25,,,
Giovanni Ricci,WR,WMICH,5.9,5.9,7.5,,,0,0,34,0.17,,,
Jonathan Adams Jr.,WR,ARKST,6.6,6.6,7.5,,,0,0,33,0.39,,,
Trenard Davis,WR,ILL,5.9,5.9,7.5,,,0,0,35,0.14,,,
Ryheem Malone,WR,LALAF,5.9,5.9,7.5,,,1,0,33,0.16,,,
Dax Raymond,TE,UTAHST,6.2,6.2,7.5,,,0,0,32,0.3,,,
Seth Williams,WR,AUBURN,6.4,6.4,7.5,,,0,0,38,0.27,,,
Jon Hilliman,RB,RUT,6.5,6.5,7.4,,,34,0.29,10,0.06,,,
Keishawn Watson,WR,WMICH,6.3,6.3,7.4,,,0,0,33,0.33,,,
Kell Walker,RB,ARMY,6.8,6.8,7.4,,,35,0.12,16,0.16,,,
Malik Williams,WR,APLST,6.4,6.4,7.4,,,0,0.03,26,0.44,,,
Travis Dye,RB,OREG,6.6,6.6,7.4,,,49,0.24,5,0.02,,,
Anthony McFarland,RB,MD,6.8,6.8,7.4,,,46,0.12,9,0.01,,,
New Mexico,DEF,NMEX,9.7,7.4,7.4,,,0,0,0,0,31.9,3.11,0.81
Will Jones,RB,BALLST,6.8,6.8,7.4,,,44,0.31,4,0.01,,,
Malik Dunner,RB,BALLST,6.6,6.6,7.3,,,27,0.25,13,0.1,,,
Jeremiah Booker,WR,KANSAS,5.8,5.8,7.3,,,0,0,28,0.25,,,
Delane Hart-Johnson,WR,NMEX,6.2,6.2,7.3,,,0,0,31,0.32,,,
John Lovett,RB,BAYLOR,6.3,6.3,7.3,,,28,0.18,15,0.09,,,
Warren Redix,WR,UTEP,6,6,7.3,,,0,0,40,0.12,,,
Sean Dykes,TE,MEMP,6.2,6.2,7.3,,,0,0,36,0.31,,,
Monteo Garrett,RB,GAS,7,7,7.3,,,46,0.33,2,0.02,,,
Chris Evans,RB,MICH,6.5,6.5,7.3,,,38,0.21,10,0.02,,,
Jalen Greene,WR,UTAHST,6.2,6.2,7.3,,,0,0,37,0.22,,,
De'Michael Harris,WR,USM,6.1,6.1,7.3,,,8,0.02,31,0.16,,,
Ricky Smalling,WR,ILL,6.1,6.1,7.3,,,0,0,28,0.38,,,
Hassan Hall,RB,LVILLE,6.6,6.6,7.3,,,45,0.23,7,0.01,,,
Thomas Hennigan,WR,APLST,5.9,5.9,7.3,,,0,0,33,0.19,,,
Donovan Peoples-Jones,WR,MICH,6.3,6.3,7.3,,,3,0,25,0.42,,,
Collin Lisa,WR,UAB,6.1,6.1,7.3,,,0,0,43,0.11,,,
Northwestern,DEF,NWEST,9.5,7.3,7.3,,,0,0,0,0,28.5,1.82,1.36
Chris Finke,WR,ND,5.8,5.8,7.2,,,1,0,36,0.13,,,
West Virginia,DEF,WVU,9.4,7.2,7.2,,,0,0,0,0,29.3,2.41,1.35
Purdue,DEF,PURDUE,9.2,7.2,7.2,,,0,0,0,0,21,1.97,0.88
JaMycal Hasty,RB,BAYLOR,6.1,6.1,7.2,,,29,0.12,10,0.1,,,
Oregon,DEF,OREG,9.4,7.2,7.2,,,0,0,0,0,25.7,2.27,1.1
Jamire Calvin,WR,WASHST,5.6,5.6,7.2,,,0,0,35,0.1,,,
Malik Stanley,WR,SALA,5.8,5.8,7.2,,,0,0.01,38,0.17,,,
Isaac Zico,WR,PURDUE,5.6,5.6,7.2,,,0,0,37,0.24,,,
UCLA,DEF,UCLA,9.6,7.2,7.2,,,0,0,0,0,31.2,1.97,1.33
Southern Mississippi,DEF,USM,9.3,7.1,7.1,,,0,0,0,0,24.9,1.7,1.24
Ole Miss,DEF,MISS,8.9,7.1,7.1,,,0,0,0,0,26.5,1.78,1.03
Greg Campbell Jr.,WR,TXSA,5.6,5.6,7.1,,,4,0.01,32,0.15,,,
Keith Gavin,WR,FSU,5.7,5.7,7.1,,,0,0,42,0.09,,,
Tyler Nevens,RB,SJST,6.2,6.2,7.1,,,35,0.2,10,0.04,,,
Tray Eafford,WR,TROY,5.8,5.8,7.1,,,2,0,31,0.22,,,
Tamir Jones,WR,GAST,5.8,5.8,7.1,,,0,0,37,0.19,,,
Jaylen Smith,WR,LVILLE,5.6,5.6,7.1,,,0,0,38,0.09,,,
Greg McCrae,RB,UCF,6.7,6.7,7,,,46,0.16,5,0.1,,,
Texas A&amp;M,DEF,TXAM,9,7,7,,,0,0,0,0,25,3.05,0.46
Marcus Simms,WR,WVU,5.9,5.9,7,,,0,0,40,0.13,,,
Jarrod Jackson,WR,LALAF,6,6,7,,,0,0,33,0.26,,,
Ravian Pierce,TE,CUSE,5.5,5.5,7,,,0,0,26,0.35,,,
Juma Otoviano,RB,RICE,6.4,6.4,7,,,53,0.1,3,0.01,,,
Jeshaun Jones,WR,MD,6.1,6.1,7,,,8,0.12,22,0.26,,,
Jordan Fredericks,RB,MA,6.3,6.3,7,,,36,0.13,10,0.13,,,
Tony Brooks-James,RB,OREG,6.5,6.5,7,,,31,0.37,9,0.04,,,
Chris Platt,WR,BAYLOR,5.5,5.5,7,,,2,0,35,0.18,,,
Quin Jernighan,WR,WKY,5.4,5.4,7,,,0,0,32,0.1,,,
Mekhi Stevenson,WR,UNLV,5.5,5.5,7,,,0,0,34,0.11,,,
Penn State,DEF,PSU,8.9,7,7,,,0,0,0,0,26.7,2.41,0.78
Ke'Mon Freeman,RB,SMU,5.9,5.9,6.9,,,22,0.27,12,0.07,,,
J.D. King,RB,OKLAST,6.4,6.4,6.9,,,23,0.1,11,0.35,,,
Devan Stubblefield,WR,HAWAII,5.7,5.7,6.9,,,0,0,30,0.24,,,
Clyde Edwards-Helaire,RB,LSU,6.6,6.6,6.9,,,46,0.24,3,0.01,,,
Brycen Hopkins,TE,PURDUE,5.7,5.7,6.9,,,0,0,35,0.18,,,
Timmy Hernandez,WR,OREGST,5.3,5.3,6.9,,,0,0,31,0.1,,,
Taylor Jackson,WR,NAVY,6.1,6.1,6.9,,,0,0,33,0.33,,,
Ky'Jon Tyler,WR,CSTCAR,5.6,5.6,6.8,,,4,0.07,31,0.13,,,
Braylon Sanders,WR,MISS,5.4,5.4,6.8,,,0,0,34,0.11,,,
Evan Butts,TE,UVA,5.6,5.6,6.8,,,0,0,24,0.36,,,
Isaiah Wright,WR,TEMPLE,5.4,5.4,6.8,,,9,0.02,26,0.15,,,
Trestan Ebner,RB,BAYLOR,5.8,5.8,6.8,,,22,0.06,19,0.07,,,
Nick Easley,WR,IOWA,5.4,5.4,6.8,,,0,0,28,0.2,,,
Kwadarrius Smith,WR,AKRON,5.5,5.5,6.8,,,2,0.01,37,0.13,,,
South Carolina,DEF,SC,9,6.8,6.8,,,0,0,0,0,29.6,2.14,1.3
Mathew Sexton,WR,EMICH,5.6,5.6,6.8,,,0,0,28,0.27,,,
Obi Obialo,WR,MRSHL,5.3,5.3,6.8,,,0,0,30,0.14,,,
Jonah Morris,WR,AKRON,5.4,5.4,6.8,,,0,0,36,0.08,,,
Maurice Alexander,WR,FIU,5.8,5.8,6.8,,,12,0.11,18,0.28,,,
John Williams,WR,MEMP,5.5,5.5,6.8,,,1,0,32,0.21,,,
Dalton Schoen,WR,KSTATE,5.8,5.8,6.8,,,0,0,32,0.26,,,
Maurice Ways,WR,CAL,5.3,5.3,6.8,,,0,0,32,0.1,,,
Stephon Huderson,RB,TULANE,6.3,6.3,6.8,,,40,0.1,12,0.02,,,
Stanford,DEF,STNFRD,8.8,6.8,6.8,,,0,0,0,0,23.3,1.91,0.91
Florida State,DEF,FSU,8.5,6.7,6.7,,,0,0,0,0,22.8,1.57,0.93
Cameron Green,TE,NWEST,5.1,5.1,6.7,,,0,0,23,0.23,,,
Western Kentucky,DEF,WKY,8.8,6.7,6.7,,,0,0,0,0,26.4,1.54,1.26
Salvon Ahmed,RB,WASH,6.3,6.3,6.7,,,33,0.35,5,0.01,,,
Christian Beal,RB,WAKE,6.3,6.3,6.7,,,50,0.11,4,0.02,,,
Eddie Lewis,WR,RUT,5,5,6.7,,,0,0,30,0.07,,,
Travis Vokolek,TE,RUT,5.4,5.4,6.7,,,0,0,28,0.23,,,
Nate Stewart,WR,AKRON,5.2,5.2,6.7,,,0,0,34,0.13,,,
Anthony Watley,TE,ECU,5.2,5.2,6.7,,,0,0,28,0.17,,,
Brittain Brown,RB,DUKE,5.9,5.9,6.7,,,31,0.18,9,0.07,,,
Amare Jones,RB,TULANE,5.5,5.5,6.7,,,28,0.08,15,0.02,,,
Jarveon Howard,RB,CUSE,5.9,5.9,6.7,,,27,0.36,9,0.04,,,
Brady Russell,TE,COLO,5,5,6.7,,,0,0,24,0.17,,,
Tyree Mayfield,TE,WYO,5.6,5.6,6.6,,,0,0,30,0.27,,,
Deshawn McClease,RB,VATECH,6.2,6.2,6.6,,,51,0.12,2,0.02,,,
Bennett Skowronek,WR,NWEST,5.2,5.2,6.6,,,0,0,31,0.12,,,
Tony Jones Jr.,RB,ND,6.3,6.3,6.6,,,38,0.19,10,0.02,,,
Missouri,DEF,MIZZOU,8.7,6.6,6.6,,,0,0,0,0,27.2,1.46,1.15
Kendrick Rogers,WR,TXAM,5.3,5.3,6.6,,,0,0,31,0.17,,,
Terry Godwin,WR,UGA,5.6,5.6,6.6,,,0,0,32,0.22,,,
Josh Hokit,RB,FRESNO,5.9,5.9,6.6,,,38,0.09,9,0.03,,,
Josh Falo,TE,USC,5.2,5.2,6.6,,,0,0,33,0.21,,,
Liberty,DEF,LIB,9.2,6.6,6.6,,,0,0,0,0,34.6,2.11,1.07
Leroy Henley,WR,ECU,5.1,5.1,6.6,,,0,0,32,0.09,,,
Tyler Badie,RB,MIZZOU,6,6,6.6,,,37,0.09,12,0.02,,,
Akron,DEF,AKRON,8.8,6.6,6.6,,,0,0,0,0,28.4,1.54,1.22
Jacob Breeland,TE,OREG,5.5,5.5,6.6,,,0,0,30,0.26,,,
Dimitri Stanley,WR,COLO,5.1,5.1,6.6,,,0,0,29,0.13,,,
Ty Harmston,TE,NILL,5.4,5.4,6.6,,,0,0,19,0.4,,,
Temple,DEF,TEMPLE,8.8,6.6,6.6,,,0,0,0,0,32.2,2.69,1.01
Louisiana Tech,DEF,LATECH,8.9,6.6,6.6,,,0,0,0,0,30.9,1.91,1.34
Terelle West,RB,MTSU,5.9,5.9,6.5,,,35,0.19,6,0.02,,,
Kentucky,DEF,UK,8.6,6.5,6.5,,,0,0,0,0,24.2,2.13,0.8
Beau Corrales,WR,UNC,5.5,5.5,6.5,,,0,0,28,0.28,,,
Jalen Rhodes,RB,TXSA,5.8,5.8,6.5,,,32,0.2,7,0.03,,,
Joey Magnifico,TE,MEMP,5.7,5.7,6.5,,,0,0,30,0.35,,,
Tulane,DEF,TULANE,9.2,6.5,6.5,,,0,0,0,0,37.2,1.97,1.48
Tyliek Raynor,RB,TEMPLE,6.2,6.2,6.5,,,37,0.35,3,0.01,,,
Alex Bachman,WR,WAKE,5.5,5.5,6.5,,,0,0,26,0.35,,,
Brennon Dingle,WR,MA,5.5,5.5,6.4,,,0,0,31,0.25,,,
Chuba Hubbard,RB,OKLAST,6,6,6.4,,,31,0.28,6,0.03,,,
Luke Farrell,TE,OHIOST,5.3,5.3,6.4,,,0,0,24,0.3,,,
Kansas State,DEF,KSTATE,8.4,6.4,6.4,,,0,0,0,0,24.7,0.84,1.16
Tre Walker,WR,SJST,5.1,5.1,6.4,,,0,0,35,0.08,,,
Thomas Geddis,WR,CINCY,5.1,5.1,6.4,,,0,0,33,0.09,,,
Jacques Patrick,RB,FSU,5.6,5.6,6.4,,,27,0.18,9,0.07,,,
Jevon Bigelow,RB,WYO,6,6,6.4,,,31,0.49,3,0.02,,,
Tre King,RB,TXTECH,5.5,5.5,6.4,,,26,0.2,9,0.02,,,
Khalil Herbert,RB,KANSAS,5.7,5.7,6.4,,,28,0.26,6,0.02,,,
Qua Searcy,RB,GATECH,5.9,5.9,6.4,,,33,0.21,12,0.04,,,
Tommy Sweeney,TE,BC,5.3,5.3,6.4,,,0,0,27,0.27,,,
Ja'Marcus Bradley,WR,LALAF,5.4,5.4,6.4,,,1,0,29,0.24,,,
Dominique Heath,WR,APLST,5.2,5.2,6.4,,,1,0.02,24,0.26,,,
Aaren Vaughns,WR,UTAHST,5.4,5.4,6.4,,,6,0.02,30,0.11,,,
Dez Fitzpatrick,WR,LVILLE,5.1,5.1,6.4,,,0,0,28,0.18,,,
Seth Collins,WR,TXTECH,5,5,6.4,,,1,0,27,0.17,,,
Isaac Nauta,TE,UGA,5.2,5.2,6.4,,,3,0.06,29,0.09,,,
Terence Williams,RB,HOU,5.9,5.9,6.3,,,38,0.26,5,0.03,,,
Marcus Armstrong-Brown,WR,HAWAII,4.9,4.9,6.3,,,0,0,27,0.13,,,
Toren Young,RB,IOWA,6.1,6.1,6.3,,,40,0.19,3,0.09,,,
Kyle Sweet,WR,WASHST,4.9,4.9,6.3,,,0,0,28,0.1,,,
Jarion Anderson,WR,TULSA,5.1,5.1,6.3,,,0,0,28,0.22,,,
Central Michigan,DEF,CMICH,8.7,6.3,6.3,,,0,0,0,0,29.8,2.28,0.83
Ian Bunting,TE,CAL,5,5,6.3,,,0,0,29,0.15,,,
Western Michigan,DEF,WMICH,8.7,6.3,6.3,,,0,0,0,0,33.8,1.51,0.72
Thayer Thomas,WR,NCST,4.7,4.7,6.3,,,1,0,30,0.11,,,
Jordan McCray,WR,SALA,5.1,5.1,6.3,,,0,0,28,0.22,,,
Taj McGowan,RB,UCF,6,6,6.3,,,35,0.36,2,0.02,,,
Cincinnati,DEF,CINCY,8.2,6.3,6.3,,,0,0,0,0,20.3,1.2,0.9
Austin Vaughn,RB,LAMON,5.8,5.8,6.3,,,35,0.25,7,0.02,,,
Joe Reed,WR,UVA,5.2,5.2,6.2,,,3,0.02,27,0.26,,,
Randle Jones,WR,TEMPLE,5.3,5.3,6.2,,,0,0,29,0.23,,,
Tamorrion Terry,WR,FSU,5.4,5.4,6.2,,,0,0,31,0.24,,,
Jelani Woods,TE,OKLAST,5.2,5.2,6.2,,,0,0,27,0.26,,,
Dawson Knox,TE,MISS,5,5,6.2,,,0,0,30,0.16,,,
Sean Savoy,WR,VATECH,4.6,4.6,6.2,,,4,0.05,22,0.26,,,
Terry Wright,WR,PURDUE,5.1,5.1,6.2,,,1,0.09,25,0.17,,,
Randall St. Felix,WR,SFLA,5,5,6.2,,,0,0,34,0.24,,,
Grant Calcaterra,TE,OKLA,4.9,4.9,6.2,,,0,0,31,0.27,,,
Isaih Pacheco,RB,RUT,5.8,5.8,6.2,,,40,0.16,5,0.02,,,
