Rnk,Name,Team,Pos,Bye,Game,Pts
1,Todd Gurley,LAR,rb,12,GB,23.7
2,James Conner,PIT,rb,7,CLV,21
4,Saquon Barkley,NYG,rb,9,WAS,19.9
5,Joe Mixon,CIN,rb,9,TB,19.8
3,Adam Thielen,MIN,wr,10,NO,21.9
6,DeAndre Hopkins,HST,wr,10,MIA,21
7,James White,NE,rb,11,@BUF,18.5
9,Kareem Hunt,KC,rb,12,DEN,18.3
8,Alvin Kamara,NO,rb,6,@MIN,18.3
10,Odell Beckham Jr.,NYG,wr,9,WAS,20.4
13,David Johnson,ARZ,rb,9,SF,17.7
11,Michael Thomas,NO,wr,6,@MIN,19.9
12,Antonio Brown,PIT,wr,7,CLV,19.8
14,Christian McCaffrey,CAR,rb,4,BLT,17.3
16,Travis Kelce,KC,te,12,DEN,17.4
15,A.J. Green,CIN,wr,9,TB,19.1
18,Chris Thompson,WAS,rb,4,@NYG,16.5
17,Zach Ertz,PHI,te,9,@JAX,16.6
19,Latavius Murray,MIN,rb,10,NO,16.2
21,Tyreek Hill,KC,wr,12,DEN,18.1
23,LeSean McCoy,BUF,rb,11,NE,15.8
22,JuJu Smith-Schuster,PIT,wr,7,CLV,18
24,Kerryon Johnson,DET,rb,6,SEA,15.4
20,Patrick Mahomes,KC,qb,12,DEN,25.4
26,Lamar Miller,HST,rb,10,MIA,15.2
25,Brandin Cooks,LAR,wr,12,GB,16.9
27,David Njoku,CLV,te,11,@PIT,15
32,Chris Carson,SEA,rb,7,@DET,14.2
33,Phillip Lindsay,DEN,rb,10,@KC,14
28,Golden Tate,DET,wr,6,SEA,16.1
31,Eric Ebron,IND,te,9,@OAK,14.3
34,Nick Chubb,CLV,rb,11,@PIT,13.9
29,Mike Evans,TB,wr,5,@CIN,15.8
30,Davante Adams,GB,wr,7,@LAR,15.7
40,Jared Cook,OAK,te,7,IND,13.4
35,Emmanuel Sanders,DEN,wr,10,@KC,15.2
37,Stefon Diggs,MIN,wr,10,NO,15.2
36,Robert Woods,LAR,wr,12,GB,15.2
38,T.Y. Hilton,IND,wr,9,@OAK,14.9
41,Rob Gronkowski,NE,te,11,@BUF,12.9
39,Jarvis Landry,CLV,wr,11,@PIT,14.7
49,Isaiah Crowell,NYJ,rb,11,@CHI,12.2
43,Tyler Boyd,CIN,wr,9,TB,14.3
51,Tarik Cohen,CHI,rb,5,NYJ,12.1
50,Marlon Mack,IND,rb,9,@OAK,12.1
52,Kenyan Drake,MIA,rb,11,@HST,12
42,Kirk Cousins,MIN,qb,10,NO,21.7
44,Michael Crabtree,BLT,wr,10,@CAR,13.7
55,Jordan Howard,CHI,rb,5,NYJ,11.4
56,Adrian Peterson,WAS,rb,4,@NYG,11.4
45,Will Fuller V,HST,wr,10,MIA,13.6
46,Kenny Golladay,DET,wr,6,SEA,13.5
53,George Kittle,SF,te,11,@ARZ,11.7
47,Allen Robinson II,CHI,wr,5,NYJ,13.4
48,Sammy Watkins,KC,wr,12,DEN,13.4
54,Kyle Rudolph,MIN,te,10,NO,11.6
65,Duke Johnson Jr.,CLV,rb,11,@PIT,11.2
64,Carlos Hyde,JAX,rb,9,PHI,11.2
66,Jalen Richard,OAK,rb,7,IND,11.1
63,Jimmy Graham,GB,te,7,@LAR,11.4
67,Doug Martin,OAK,rb,7,IND,10.9
59,Randall Cobb,GB,wr,7,@LAR,12.9
60,Doug Baldwin,SEA,wr,7,@DET,12.9
69,Mark Ingram II,NO,rb,6,@MIN,10.7
57,Deshaun Watson,HST,qb,10,MIA,20.8
61,Devin Funchess,CAR,wr,4,BLT,12.8
58,Ben Roethlisberger,PIT,qb,7,CLV,20.6
72,Kenjon Barner,NE,rb,11,@BUF,10.3
71,Matt Breida,SF,rb,11,@ARZ,10.3
62,Alshon Jeffery,PHI,wr,9,@JAX,12.5
68,Greg Olsen,CAR,te,4,BLT,10.7
70,Trey Burton,CHI,te,5,NYJ,10.6
79,Demaryius Thomas,DEN,wr,10,@KC,12.3
88,Peyton Barber,TB,rb,5,@CIN,10.1
73,Andrew Luck,IND,qb,9,@OAK,20.2
89,T.J. Yeldon,JAX,rb,9,PHI,10
80,Marvin Jones Jr.,DET,wr,6,SEA,12.2
90,Ty Montgomery,GB,rb,7,@LAR,9.8
81,Keelan Cole,JAX,wr,9,PHI,12
74,Mitchell Trubisky,CHI,qb,5,NYJ,19.9
75,Aaron Rodgers,GB,qb,7,@LAR,19.9
76,Baker Mayfield,CLV,qb,11,@PIT,19.8
82,Taylor Gabriel,CHI,wr,5,NYJ,11.8
92,Alex Collins,BLT,rb,10,@CAR,9.6
83,Willie Snead IV,BLT,wr,10,@CAR,11.7
77,Cam Newton,CAR,qb,4,BLT,19.6
94,Wendell Smallwood,PHI,rb,9,@JAX,9.4
84,Julian Edelman,NE,wr,11,@BUF,11.6
78,Jared Goff,LAR,qb,12,GB,19.5
85,John Brown,BLT,wr,10,@CAR,11.4
86,Danny Amendola,MIA,wr,11,@HST,11.4
87,Josh Gordon,NE,wr,11,@BUF,11.4
91,Evan Engram,NYG,te,9,WAS,9.6
93,Vance McDonald,PIT,te,7,CLV,9.6
105,Jordan Reed,WAS,te,4,@NYG,9.5
97,Sterling Shepard,NYG,wr,9,WAS,11.2
95,Andy Dalton,CIN,qb,9,TB,19.1
108,Aaron Jones,GB,rb,7,@LAR,8.9
106,Nyheim Hines,IND,rb,9,@OAK,8.9
109,Javorius Allen,BLT,rb,10,@CAR,8.8
98,Jordy Nelson,OAK,wr,7,IND,11
100,Marquise Goodwin,SF,wr,11,@ARZ,10.9
99,Tyler Lockett,SEA,wr,7,@DET,10.9
101,DeSean Jackson,TB,wr,5,@CIN,10.9
110,Corey Clement,PHI,rb,9,@JAX,8.7
107,O.J. Howard,TB,te,5,@CIN,8.9
96,Matthew Stafford,DET,qb,6,SEA,18.6
102,Christian Kirk,ARZ,wr,9,SF,10.6
111,Devontae Booker,DEN,rb,10,@KC,8.3
103,Dede Westbrook,JAX,wr,9,PHI,10.5
104,DeVante Parker,MIA,wr,11,@HST,10.4
132,Chris Ivory,BUF,rb,11,NE,8.2
130,Ricky Seals-Jones,ARZ,te,9,SF,8.4
120,Martavis Bryant,OAK,wr,7,IND,10.2
119,Nelson Agholor,PHI,wr,9,@JAX,10.2
131,Charles Clay,BUF,te,11,NE,8.3
121,Chester Rogers,IND,wr,9,@OAK,10.1
122,Geronimo Allison,GB,wr,7,@LAR,10
113,Drew Brees,NO,qb,6,@MIN,17.9
112,Jameis Winston,TB,qb,5,@CIN,17.9
123,Larry Fitzgerald,ARZ,wr,9,SF,9.9
124,Tre'Quan Smith,NO,wr,6,@MIN,9.9
135,Frank Gore,MIA,rb,11,@HST,7.5
134,Ronald Jones,TB,rb,5,@CIN,7.5
125,Donte Moncrief,JAX,wr,9,PHI,9.5
115,Russell Wilson,SEA,qb,7,@DET,17.4
114,Alex Smith,WAS,qb,4,@NYG,17.4
126,Kelvin Benjamin,BUF,wr,11,NE,9.4
133,Jack Doyle,IND,te,9,@OAK,7.6
136,Alfred Blue,HST,rb,10,MIA,7.2
127,Antonio Callaway,CLV,wr,11,@PIT,9.3
137,Trenton Cannon,NYJ,rb,11,@CHI,7.1
128,Jermaine Kearse,NYJ,wr,11,@CHI,9.1
116,Derek Carr,OAK,qb,7,IND,17
117,Tom Brady,NE,qb,11,@BUF,16.7
138,C.J. Uzomah,CIN,te,9,TB,6.8
140,Kyle Juszczyk,SF,rb,11,@ARZ,6.4
129,Josh Reynolds,LAR,wr,12,GB,8.6
118,Eli Manning,NYG,qb,9,WAS,16.5
139,Jeff Heuerman,DEN,te,10,@KC,6.7
141,Mike Davis,SEA,rb,7,@DET,6.3
155,Cameron Brate,TB,te,5,@CIN,6.5
157,LeGarrette Blount,DET,rb,6,SEA,6.1
142,Carson Wentz,PHI,qb,9,@JAX,16.2
156,Benjamin Watson,NO,te,6,@MIN,6.4
145,Courtland Sutton,DEN,wr,10,@KC,8.2
146,Anthony Miller,CHI,wr,5,NYJ,8.1
147,Rishard Matthews,NYJ,wr,11,@CHI,8
143,Blake Bortles,JAX,qb,9,PHI,15.9
148,Josh Doctson,WAS,wr,4,@NYG,7.9
149,Vyncint Smith,HST,wr,10,MIA,7.8
160,Raheem Mostert,SF,rb,11,@ARZ,5.6
144,Case Keenum,DEN,qb,10,@KC,15.7
158,Nick Vannett,SEA,te,7,@DET,5.9
150,Zay Jones,BUF,wr,11,NE,7.7
151,Jakeem Grant,MIA,wr,11,@HST,7.7
159,Gerald Everett,LAR,te,12,GB,5.8
161,Ameer Abdullah,DET,rb,6,SEA,5.4
153,Dontrelle Inman,IND,wr,9,@OAK,7.6
152,Paul Richardson Jr.,WAS,wr,4,@NYG,7.6
154,Alex Erickson,CIN,wr,9,TB,7.5
163,D.J. Moore,CAR,wr,4,BLT,7.4
164,Cameron Meredith,NO,wr,6,@MIN,7.3
165,Seth Roberts,OAK,wr,7,IND,7.3
173,Jamaal Williams,GB,rb,7,@LAR,5.1
172,Chris Herndon,NYJ,te,11,@CHI,5.3
166,Trent Taylor,SF,wr,11,@ARZ,7.1
177,Mark Walton,CIN,rb,9,TB,4.6
162,Joe Flacco,BLT,qb,10,@CAR,14.7
174,Mike Gesicki,MIA,te,11,@HST,4.9
167,Chris Godwin,TB,wr,5,@CIN,6.7
180,Spencer Ware,KC,rb,12,DEN,4.5
178,Mike Boone,MIN,rb,10,NO,4.5
179,Wayne Gallman,NYG,rb,9,WAS,4.5
175,Ed Dickson,SEA,te,7,@DET,4.8
168,Damion Ratley,CLV,wr,11,@PIT,6.6
170,Laquon Treadwell,MIN,wr,10,NO,6.6
169,Andre Roberts,NYJ,wr,11,@CHI,6.6
176,Jason Croom,BUF,te,11,NE,4.7
171,David Moore,SEA,wr,7,@DET,6.5
181,Chase Edmonds,ARZ,rb,9,SF,4.3
185,Chris Hogan,NE,wr,11,@BUF,6.4
192,Mark Andrews,BLT,te,10,@CAR,4.6
190,Jesse James,PIT,te,7,CLV,4.6
191,Vernon Davis,WAS,te,4,@NYG,4.6
195,Rashaad Penny,SEA,rb,7,@DET,4.1
187,Chad Williams,ARZ,wr,9,SF,6.2
186,Andre Holmes,BUF,wr,11,NE,6.2
193,Jordan Thomas,HST,te,10,MIA,4.3
199,DeAndre Washington,OAK,rb,7,IND,3.9
182,C.J. Beathard,SF,qb,11,@ARZ,14
194,David Grinnage,JAX,te,9,PHI,4.2
188,Adam Humphries,TB,wr,5,@CIN,6
189,Maurice Harris,WAS,wr,4,@NYG,5.9
183,Josh Rosen,ARZ,qb,9,SF,13.8
196,Hayden Hurst,BLT,te,10,@CAR,4
197,Matt LaCosse,DEN,te,10,@KC,4
198,Dallas Goedert,PHI,te,9,@JAX,4
200,Alfred Morris,SF,rb,11,@ARZ,3.4
184,Derek Anderson,BUF,qb,11,NE,13.4
202,Kendrick Bourne,SF,wr,11,@ARZ,5.4
208,C.J. Anderson,CAR,rb,4,BLT,3.2
209,C.J. Ham,MIN,rb,10,NO,3.1
203,Curtis Samuel,CAR,wr,4,BLT,5.3
207,Demetrius Harris,KC,te,12,DEN,3.3
213,Andy Janovich,DEN,rb,10,@KC,2.8
214,Jordan Wilkins,IND,rb,9,@OAK,2.8
204,Chris Conley,KC,wr,12,DEN,4.9
210,Michael Roberts,DET,te,6,SEA,3.1
215,Josh Adams,PHI,rb,9,@JAX,2.7
216,Tommy Bohanon,JAX,rb,9,PHI,2.6
201,Brock Osweiler,MIA,qb,11,@HST,12.7
211,Jordan Akins,HST,te,10,MIA,2.9
212,Neal Sterling,NYJ,te,11,@CHI,2.9
217,Malcolm Brown,LAR,rb,12,GB,2.5
206,Jarius Wright,CAR,wr,4,BLT,4.6
205,D.J. Chark Jr.,JAX,wr,9,PHI,4.6
218,Roc Thomas,MIN,rb,10,NO,2.3
220,Ryan Switzer,PIT,wr,7,CLV,4.4
230,Gus Edwards,BLT,rb,10,@CAR,2.2
225,Darren Fells,CLV,te,11,@PIT,2.5
226,Blake Bell,JAX,te,9,PHI,2.5
232,Stevan Ridley,PIT,rb,7,CLV,2.1
229,Nick Boyle,BLT,te,10,@CAR,2.3
228,Logan Thomas,BUF,te,11,NE,2.3
227,Josh Hill,NO,te,6,@MIN,2.3
221,Breshad Perriman,CLV,wr,11,@PIT,4.1
231,Tyler Higbee,LAR,te,12,GB,2.2
223,Chris Moore,BLT,wr,10,@CAR,4
222,Russell Shepard,NYG,wr,9,WAS,4
219,Sam Darnold,NYJ,qb,11,@CHI,11.9
241,Marcus Murphy,BUF,rb,11,NE,1.6
236,Matt Lengel,CIN,te,9,TB,1.9
237,Lance Kendricks,GB,te,7,@LAR,1.9
233,Nick O'Leary,MIA,te,11,@HST,1.9
234,David Morgan,MIN,te,10,NO,1.9
235,Rhett Ellison,NYG,te,9,WAS,1.9
242,James Develin,NE,rb,11,@BUF,1.5
239,Jermaine Gresham,ARZ,te,9,SF,1.8
238,Seth DeValve,CLV,te,11,@PIT,1.8
243,Derrick Coleman,ARZ,rb,9,SF,1.4
240,Luke Willson,DET,te,6,SEA,1.7
224,Leonte Carroo,MIA,wr,11,@HST,3.5
244,Jacquizz Rodgers,TB,rb,5,@CIN,1.3
246,Deontay Burnett,NYJ,wr,11,@CHI,3.4
245,James Washington,PIT,wr,7,CLV,3.4
252,Tyler Ervin,HST,rb,10,MIA,1.2
254,Kapri Bibbs,WAS,rb,4,@NYG,1.1
247,Jordan Leggett,NYJ,te,11,@CHI,1.4
248,Derek Carrier,OAK,te,7,IND,1.4
255,Anthony Sherman,KC,rb,12,DEN,1
250,Dion Sims,CHI,te,5,NYJ,1.3
249,Garrett Celek,SF,te,11,@ARZ,1.3
251,Levine Toilolo,DET,te,6,SEA,1.2
253,Ian Thomas,CAR,te,4,BLT,1.1
260,Keith Smith,OAK,rb,7,IND,0.7
256,Tyler Conklin,MIN,te,10,NO,1
267,Kalen Ballage,MIA,rb,11,@HST,0.6
266,Zach Line,NO,rb,6,@MIN,0.6
265,Roosevelt Nix,PIT,rb,7,CLV,0.6
257,Joshua Perkins,PHI,te,9,@JAX,0.9
269,Alex Armah,CAR,rb,4,BLT,0.5
270,Benny Cunningham,CHI,rb,5,NYJ,0.5
268,Tre Madden,SEA,rb,7,@DET,0.5
258,Dwayne Allen,NE,te,11,@BUF,0.8
263,Ben Braunecker,CHI,te,5,NYJ,0.7
262,Brian Parker,DEN,te,10,@KC,0.7
261,Lee Smith,OAK,te,7,IND,0.7
259,Xavier Grimble,PIT,te,7,CLV,0.7
264,Antony Auclair,TB,te,5,@CIN,0.7
272,Cordarrelle Patterson,NE,wr,11,@BUF,2.4
273,Jordan Matthews,PHI,wr,9,@JAX,2.4
271,Nick Williams,LAR,wr,12,GB,2.4
288,Damien Williams,KC,rb,12,DEN,0.2
286,Durham Smythe,MIA,te,11,@HST,0.5
284,Jacob Hollister,NE,te,11,@BUF,0.5
285,Jeremy Sprinkle,WAS,te,4,@NYG,0.5
287,Dan Arnold,NO,te,6,@MIN,0.4
274,Dwayne Harris,OAK,wr,7,IND,2.2
290,T.J. Logan,ARZ,rb,9,SF,0
289,Darren Sproles,PHI,rb,9,@JAX,0
275,J.J. Nelson,ARZ,wr,9,SF,2.1
278,Cody Core,CIN,wr,9,TB,1.9
277,Zach Pascal,IND,wr,9,@OAK,1.9
276,Charone Peake,NYJ,wr,11,@CHI,1.9
279,TJ Jones,DET,wr,6,SEA,1.8
280,Aldrick Robinson,MIN,wr,10,NO,1.7
282,Victor Bolden Jr.,SF,wr,11,@ARZ,1.6
281,Dante Pettis,SF,wr,11,@ARZ,1.6
283,Joshua Bellamy,CHI,wr,5,NYJ,1.5
291,Austin Carr,NO,wr,6,@MIN,1.3
292,Kevin White,CHI,wr,5,NYJ,1.2
293,Marquez Valdes-Scantling,GB,wr,7,@LAR,1.2
295,Demarcus Robinson,KC,wr,12,DEN,1.2
294,Phillip Dorsett,NE,wr,11,@BUF,1.2
296,Jaron Brown,SEA,wr,7,@DET,1
297,Brian Quick,WAS,wr,4,@NYG,1
298,Brandon Marshall,SEA,wr,7,@DET,0.9
299,Brandon Zylstra,MIN,wr,10,NO,0.7
300,Josh Malone,CIN,wr,9,TB,0.6
301,Tim Patrick,DEN,wr,10,@KC,0.6
302,Sammie Coates Jr.,HST,wr,10,MIA,0.6
303,Rashad Greene Sr.,JAX,wr,9,PHI,0.6
304,Bennie Fowler,NYG,wr,9,WAS,0.6
305,Brandon LaFell,OAK,wr,7,IND,0.6
306,DeAndre Carter,PHI,wr,9,@JAX,0.6
307,Shelton Gibson,PHI,wr,9,@JAX,0.6
308,KhaDarel Hodge,LAR,wr,12,GB,0.6
309,Cam Phillips,BUF,wr,11,NE,0.5
310,Damiere Byrd,CAR,wr,4,BLT,0.5
312,Justin Hunter,PIT,wr,7,CLV,0.5
311,Michael Floyd,WAS,wr,4,@NYG,0.5
316,Jaydon Mickens,JAX,wr,9,PHI,0
313,De'Anthony Thomas,KC,wr,12,DEN,0
314,Tommylee Lewis,NO,wr,6,@MIN,0
317,Cody Latimer,NYG,wr,9,WAS,0
315,JoJo Natson,LAR,wr,12,GB,0
318,Lamar Jackson,BLT,qb,10,@CAR,2
319,Taysom Hill,NO,qb,6,@MIN,1.3
323,Tyrod Taylor,CLV,qb,11,@PIT,0.2
320,Cody Kessler,JAX,qb,9,PHI,0.2
321,Trevor Siemian,MIN,qb,10,NO,0.2
322,Ryan Fitzpatrick,TB,qb,5,@CIN,0.2
334,Mike Glennon,ARZ,qb,9,SF,0.1
324,Nathan Peterman,BUF,qb,11,NE,0.1
325,Taylor Heinicke,CAR,qb,4,BLT,0.1
326,Chase Daniel,CHI,qb,5,NYJ,0.1
327,Jeff Driskel,CIN,qb,9,TB,0.1
328,Kevin Hogan,DEN,qb,10,@KC,0.1
329,Matt Cassel,DET,qb,6,SEA,0.1
330,DeShone Kizer,GB,qb,7,@LAR,0.1
331,Brandon Weeden,HST,qb,10,MIA,0.1
332,Jacoby Brissett,IND,qb,9,@OAK,0.1
333,Chad Henne,KC,qb,12,DEN,0.1
346,David Fales,MIA,qb,11,@HST,0.1
335,Brian Hoyer,NE,qb,11,@BUF,0.1
336,Teddy Bridgewater,NO,qb,6,@MIN,0.1
337,Alex Tanney,NYG,qb,9,WAS,0.1
338,Josh McCown,NYJ,qb,11,@CHI,0.1
339,A.J. McCarron,OAK,qb,7,IND,0.1
340,Nick Foles,PHI,qb,9,@JAX,0.1
341,Joshua Dobbs,PIT,qb,7,CLV,0.1
342,Sean Mannion,LAR,qb,12,GB,0.1
343,Nick Mullens,SF,qb,11,@ARZ,0.1
344,Brett Hundley,SEA,qb,7,@DET,0.1
345,Colt McCoy,WAS,qb,4,@NYG,0.1
347,Bears DST,CHI,dst,5,NYJ,11
348,Steelers DST,PIT,dst,7,CLV,8.9
349,Patriots DST,NE,dst,11,@BUF,8.8
350,Jaguars DST,JAX,dst,9,PHI,8.4
351,Chiefs DST,KC,dst,12,DEN,8.4
352,Ravens DST,BLT,dst,10,@CAR,8.3
353,Bengals DST,CIN,dst,9,TB,8.2
354,Dolphins DST,MIA,dst,11,@HST,8.2
355,Cardinals DST,ARZ,dst,9,SF,8.1
356,Saints DST,NO,dst,6,@MIN,8.1
357,Panthers DST,CAR,dst,4,BLT,7.9
358,Texans DST,HST,dst,10,MIA,7.7
359,Eagles DST,PHI,dst,9,@JAX,7.7
360,Browns DST,CLV,dst,11,@PIT,7.5
361,Redskins DST,WAS,dst,4,@NYG,7.4
362,Rams DST,LAR,dst,12,GB,7.3
363,Harrison Butker,KC,k,12,DEN,7
364,Colts DST,IND,dst,9,@OAK,6.7
365,Raiders DST,OAK,dst,7,IND,6.7
368,Jets DST,NYJ,dst,11,@CHI,6.5
366,Buccaneers DST,TB,dst,5,@CIN,6.5
367,Justin Tucker,BLT,k,10,@CAR,6.5
369,49ers DST,SF,dst,11,@ARZ,6.4
371,Lions DST,DET,dst,6,SEA,6.3
370,Chris Boswell,PIT,k,7,CLV,6.3
372,Packers DST,GB,dst,7,@LAR,6.2
373,Greg Zuerlein,LAR,k,12,GB,6.2
374,Seahawks DST,SEA,dst,7,@DET,6.1
375,Wil Lutz,NO,k,6,@MIN,6.1
376,Bills DST,BUF,dst,11,NE,6
377,Broncos DST,DEN,dst,10,@KC,5.9
378,Vikings DST,MIN,dst,10,NO,5.8
379,Matt Prater,DET,k,6,SEA,5.8
380,Giants DST,NYG,dst,9,WAS,5.7
382,Mason Crosby,GB,k,7,@LAR,5.7
381,Stephen Gostkowski,NE,k,11,@BUF,5.7
383,Cody Parkey,CHI,k,5,NYJ,5.6
384,Dan Bailey,MIN,k,10,NO,5.6
385,Chandler Catanzaro,TB,k,5,@CIN,5.6
386,Graham Gano,CAR,k,4,BLT,5.5
387,Adam Vinatieri,IND,k,9,@OAK,5.5
388,Dustin Hopkins,WAS,k,4,@NYG,5.4
389,Randy Bullock,CIN,k,9,TB,5.2
390,Ka'imi Fairbairn,HST,k,10,MIA,5
391,Daniel Carlson,OAK,k,7,IND,5
392,Sebastian Janikowski,SEA,k,7,@DET,4.9
393,Jake Elliott,PHI,k,9,@JAX,4.8
394,Brandon McManus,DEN,k,10,@KC,4.7
395,Josh Lambo,JAX,k,9,PHI,4.6
396,Robbie Gould,SF,k,11,@ARZ,4.6
397,Aldrick Rosas,NYG,k,9,WAS,4.3
398,Stephen Hauschka,BUF,k,11,NE,4.1
399,Phil Dawson,ARZ,k,9,SF,3.8
400,Jason Sanders,MIA,k,11,@HST,3.4
401,Jason Myers,NYJ,k,11,@CHI,3.1
