player,position,team,upper,lower,points,YD,TD,sdPts,dropoff,sdRank,risk,DPA,SACK,INT
Nick Basquine,WR,OKLA,3.1,3.1,3.8,,,0,0,17,0.12,,,
Alfred Smith,WR,LATECH,3,3,3.8,,,0,0,15,0.11,,,
Rashaad Boddie,RB,COLOST,3.5,3.5,3.8,,,16,0.22,4,0.02,,,
Christian Owens,WR,GAST,3.2,3.2,3.8,,,0,0,13,0.22,,,
Michael Ezeike,WR,UCLA,3.2,3.2,3.8,,,0,0,11,0.24,,,
Avery Davis,QB,ND,3.6,3.6,3.8,54,0.41,2,0.02,0,0,,,
Moral Stephens,TE,FLA,3.1,3.1,3.8,,,0,0,14,0.16,,,
C.J. Riley,WR,NCST,2.5,2.5,3.8,,,1,0,25,0.05,,,
Brandon Polk,WR,PSU,3.2,3.2,3.8,,,0,0,17,0.16,,,
Velus Jones Jr.,WR,USC,3,3,3.8,,,1,0.01,17,0.07,,,
Javon Leake,RB,MD,3.6,3.6,3.8,,,11,0.36,2,0.02,,,
Tavin Richardson,WR,UK,3.1,3.1,3.8,,,0,0,20,0.06,,,
Joseph Saucier,RB,AF,3.5,3.5,3.8,,,20,0.14,6,0.01,,,
T.J. Pledger,RB,OKLA,3.5,3.5,3.7,,,20,0.11,5,0.03,,,
Jahcour Pearson,WR,WKY,3,3,3.7,,,1,0.01,17,0.09,,,
D.J. Matthews,WR,FSU,2.8,2.8,3.7,,,0,0,16,0.06,,,
Beau Corrales,WR,UNC,3.1,3.1,3.7,,,0,0,16,0.15,,,
T'Rod Daniels,RB,USM,3.4,3.4,3.7,,,16,0.2,4,0.02,,,
Eastern Michigan,DEF,EMICH,5.9,3.7,3.7,,,0,0,0,0,25.2,0.3,0.46
Camden Harrison,WR,ARMY,3.4,3.4,3.7,,,0,0,13,0.3,,,
Mychal Cooper,WR,NAVY,3.3,3.3,3.7,,,1,0,14,0.24,,,
Ra'Von Bonner,RB,ILL,3.5,3.5,3.7,,,20,0.2,1,0.01,,,
Justin Allen,WR,FRESNO,2.8,2.8,3.7,,,0,0,16,0.07,,,
Tyler Page,WR,SMU,3.1,3.1,3.7,,,0,0,20,0.08,,,
Sam Dobbs,TE,VANDY,2.9,2.9,3.7,,,1,0,17,0.06,,,
Donaven Tennyson,WR,VANDY,3,3,3.7,,,2,0,22,0.06,,,
Michael Young,WR,ND,2.5,2.5,3.7,,,0,0,22,0.13,,,
Robert Mahone,RB,BOISE,3.2,3.2,3.7,,,14,0.1,7,0.02,,,
Josh Fields,RB,UTEP,3.1,3.1,3.7,,,15,0.06,8,0.02,,,
Daniel George,WR,PSU,3.2,3.2,3.7,,,0,0,16,0.18,,,
Ronnie Walker Jr.,RB,IND,3,3,3.6,,,20,0.16,4,0.02,,,
Drayton Law,WR,CMICH,2.9,2.9,3.6,,,0,0,18,0.07,,,
Michael Collins,QB,TCU,3.6,3.6,3.6,45,0.47,0,0.01,0,0,,,
Judah Bell,WR,SMU,2.9,2.9,3.6,,,0,0,17,0.08,,,
Matt Barnes,TE,LALAF,2.8,2.8,3.6,,,0,0,15,0.08,,,
Darveon Brown,WR,ARKST,3,3,3.6,,,1,0,15,0.12,,,
Tanner Cowley,TE,UVA,2.8,2.8,3.6,,,0,0,16,0.08,,,
Jonathan Femi-Cole,RB,MINN,3.4,3.4,3.6,,,24,0.11,3,0.02,,,
Brandon Sowards,WR,MICHST,2.9,2.9,3.6,,,0,0,18,0.08,,,
A.J. Davis,RB,PITT,3.2,3.2,3.6,,,20,0.08,5,0.02,,,
Phillip Howard,WR,MINN,2.8,2.8,3.6,,,1,0,14,0.08,,,
Christian Pabico,WR,UCLA,2.8,2.8,3.6,,,1,0,18,0.06,,,
Demarcus Felton,RB,TXTECH,3.2,3.2,3.5,,,16,0.15,4,0.02,,,
Xazavian Valladay,RB,WYO,3.4,3.4,3.5,,,25,0.07,3,0.01,,,
Ray Marten,TE,BC,3.1,3.1,3.5,,,0,0,12,0.24,,,
Charles Jones II,TE,TULANE,2.6,2.6,3.5,,,0,0,10,0.13,,,
Brock Wright,TE,ND,3,3,3.5,,,0,0,8,0.26,,,
Cole Neph,TE,TULSA,2.9,2.9,3.5,,,0,0,15,0.13,,,
Isaiah Floyd,RB,ARIZST,3.2,3.2,3.5,,,16,0.12,5,0.02,,,
Dalton Rigdon,WR,TXTECH,2.7,2.7,3.5,,,0,0,16,0.05,,,
Brandon Johnson,WR,TENN,2.6,2.6,3.5,,,0,0,15,0.06,,,
Terry Juniel,WR,UTEP,2.7,2.7,3.5,,,0,0,19,0.08,,,
Chico McClatcher,WR,WASH,2.6,2.6,3.5,,,3,0.02,17,0.06,,,
Calvin Jackson Jr.,WR,WASHST,2.6,2.6,3.5,,,0,0,13,0.06,,,
John Moten IV,RB,NWEST,3,3,3.5,,,12,0.13,6,0.01,,,
Josh Vann,WR,SC,2.7,2.7,3.5,,,0,0,15,0.08,,,
Jared Cornelius,WR,ARK,2.8,2.8,3.5,,,2,0.03,14,0.08,,,
Terrell Chatman,WR,ARIZST,2.8,2.8,3.5,,,0,0,13,0.16,,,
Anthony Wyche,RB,NTEXAS,3.1,3.1,3.4,,,12,0.17,6,0.03,,,
Sihiem King,RB,UK,3.1,3.1,3.4,,,20,0.08,4,0.01,,,
Marquez Trigg,RB,WKY,3.1,3.1,3.4,,,17,0.11,4,0.02,,,
Brennan Eagles,WR,TEXAS,2.8,2.8,3.4,,,0,0,19,0.05,,,
Isaac Holder,WR,EMICH,2.7,2.7,3.4,,,0,0,14,0.12,,,
Jaetavian Toles,WR,TULANE,2.6,2.6,3.4,,,0,0,15,0.07,,,
Leki Nunn,WR,SJST,2.7,2.7,3.4,,,2,0.01,13,0.07,,,
K.C. Crosby,TE,SC,2.8,2.8,3.4,,,0,0,14,0.13,,,
Slade Carroll,RB,SC,3.1,3.1,3.4,,,22,0.05,4,0.02,,,
Jackson Anthrop,WR,PURDUE,2.5,2.5,3.4,,,0,0.02,13,0.06,,,
Oregon State,DEF,OREGST,6.1,3.4,3.4,,,0,0,0,0,38.1,1.71,0.84
Eltoro Allen,RB,UTAHST,3,3,3.4,,,12,0.16,6,0.02,,,
Madre London,RB,TENN,3.1,3.1,3.4,,,18,0.16,2,0.02,,,
R.J. Tyler,TE,CHARLO,2.8,2.8,3.4,,,0,0,11,0.19,,,
DeAndre Thompkins,WR,PSU,2.8,2.8,3.4,,,0,0,17,0.09,,,
Jaylon Robinson,WR,OKLA,2.7,2.7,3.3,,,0,0,14,0.11,,,
Christopher Brown Jr.,RB,CAL,3,3,3.3,,,15,0.17,3,0.01,,,
Travis Levy,RB,BC,2.7,2.7,3.3,,,10,0.07,7,0.02,,,
Jordan Wilson,TE,UCLA,2.7,2.7,3.3,,,0,0,12,0.15,,,
Griffin Hammer,TE,COLOST,2.6,2.6,3.3,,,0,0,14,0.07,,,
Ryan Jenkins,WR,ARIZST,2.7,2.7,3.3,,,0,0,17,0.05,,,
Riley Burt,RB,BYU,3.1,3.1,3.3,,,17,0.16,2,0.01,,,
Neil Pau'u,WR,BYU,2.4,2.4,3.3,,,3,0.01,11,0.05,,,
Shea Holebrook Jr.,WR,NMEXST,2.5,2.5,3.3,,,0,0,13,0.09,,,
Ko Kieft,TE,MINN,2.7,2.7,3.3,,,0,0,16,0.1,,,
Tevis Abraham,WR,NMEXST,2.5,2.5,3.3,,,0,0,12,0.09,,,
Dax Milne,WR,BYU,2.5,2.5,3.3,,,0,0.01,14,0.05,,,
Larry Collins Jr.,WR,CSTCAR,2.6,2.6,3.3,,,0,0,15,0.08,,,
Dejonte O'Neal,RB,FRESNO,2.8,2.8,3.3,,,12,0.08,6,0.02,,,
Tre'Shon Wolf,WR,UTEP,2.6,2.6,3.3,,,0,0,16,0.05,,,
Derius Davis,WR,TCU,2.8,2.8,3.3,,,9,0.01,10,0.07,,,
Tavares Kelly,WR,UVA,2.3,2.3,3.3,,,2,0,18,0.07,,,
Jeremy Singleton,WR,HOU,2.5,2.5,3.3,,,0,0,13,0.07,,,
Cam'ron Davis,RB,MIAMI,2.8,2.8,3.3,,,14,0.05,6,0.02,,,
Daylon Charlot,WR,KANSAS,2.7,2.7,3.3,,,0,0,14,0.13,,,
Mychale Salahuddin,RB,PITT,3,3,3.2,,,18,0.08,5,0.02,,,
Artice Hobbs IV,RB,ARMY,3,3,3.2,,,18,0.13,4,0.01,,,
Jaxson Kincaide,RB,NEVADA,2.6,2.6,3.2,,,7,0.06,5,0.09,,,
Diondre Overton,WR,CLEM,2.6,2.6,3.2,,,0,0,12,0.14,,,
Kevrin Justice,RB,HOU,2.9,2.9,3.2,,,17,0.09,4,0.02,,,
Jonathan Ifedi,WR,GAST,2.5,2.5,3.2,,,0,0,15,0.06,,,
Nate Wieting,TE,IOWA,2.6,2.6,3.2,,,0,0,17,0.05,,,
Isaiah Smalls,TE,OREGST,2.5,2.5,3.2,,,0,0,15,0.07,,,
Cade Brewer,TE,TEXAS,2.5,2.5,3.2,,,0,0,12,0.1,,,
Keion White,TE,ODU,2.6,2.6,3.2,,,0,0,17,0.05,,,
Austin Liles,WR,SJST,2.6,2.6,3.2,,,0,0,18,0.06,,,
Taj Mustapha,WR,WISC,2.6,2.6,3.2,,,0,0,9,0.18,,,
Jeremiah Hawkins,WR,CAL,2.5,2.5,3.2,,,2,0.01,13,0.04,,,
Randrecous Davis,WR,SC,2.7,2.7,3.2,,,1,0,10,0.19,,,
Trelon Smith,RB,ARIZST,2.2,2.2,3.1,,,8,0.07,7,0.02,,,
Tyrick James,TE,TULANE,2.5,2.5,3.1,,,0,0,15,0.06,,,
Deddrick Thomas,WR,MISSST,2.6,2.6,3.1,,,0,0,14,0.09,,,
Ryan Bay,TE,OREG,2.4,2.4,3.1,,,0,0,13,0.08,,,
Drake Anderson,RB,NWEST,2.8,2.8,3.1,,,19,0.06,4,0.01,,,
Sandon McCoy,RB,ARMY,3,3,3.1,,,22,0.13,1,0.01,,,
Ramaud Chiaokhiao-Bowman,WR,NWEST,2.3,2.3,3.1,,,0,0,14,0.05,,,
Nolan Eriksen,RB,AF,2.9,2.9,3.1,,,18,0.12,2,0.01,,,
Nikko Hall,WR,COLOST,2.6,2.6,3.1,,,3,0,13,0.06,,,
Jeremy Banks,RB,TENN,2.5,2.5,3.1,,,17,0.18,3,0.01,,,
Ceejhay French-Love,TE,ARIZST,2.5,2.5,3.1,,,0,0,15,0.06,,,
Keith Mixon,WR,MISSST,2.5,2.5,3.1,,,2,0.01,14,0.11,,,
Charlie Woerner,TE,UGA,2.5,2.5,3.1,,,0,0,14,0.09,,,
Daevon Vigilant,RB,NMEX,2.8,2.8,3.1,,,18,0.08,3,0.03,,,
Rice,DEF,RICE,6.2,3.1,3.1,,,0,0,0,0,46.6,2.08,0.63
Tario Fuller,RB,PURDUE,2.5,2.5,3,,,7,0.04,9,0.01,,,
Dominick Wood-Anderson,TE,TENN,2.4,2.4,3,,,0,0,10,0.13,,,
Octavius Evans,WR,BOISE,2.1,2.1,3,,,0,0,12,0.14,,,
Scott Bracey,WR,DUKE,2.2,2.2,3,,,0,0,11,0.06,,,
Calvin Camp,WR,CHARLO,2.6,2.6,3,,,16,0.05,5,0.04,,,
Martell Irby,RB,UCLA,2.5,2.5,3,,,11,0.07,6,0.02,,,
Tyraiq Beals,WR,UCONN,2.3,2.3,3,,,0,0,15,0.06,,,
C.J. Sanders,WR,SMU,2.3,2.3,3,,,1,0,12,0.08,,,
Jordan Jones,WR,ARK,2.4,2.4,3,,,2,0,12,0.07,,,
Rontavius Groves,WR,UNC,2.4,2.4,3,,,0,0,17,0.04,,,
Logan Hessbrook,TE,CMICH,2.3,2.3,3,,,0,0,12,0.08,,,
DJ Nelson,WR,UTAHST,2.4,2.4,3,,,2,0.09,8,0.07,,,
Jamil Sabbagh,WR,CMICH,2.6,2.6,3,,,1,0,12,0.15,,,
Jeremy Patton,TE,ARK,2.4,2.4,3,,,0,0,15,0.06,,,
Sean McGrew,RB,WASH,2.7,2.7,2.9,,,14,0.07,6,0.01,,,
Jaylin Nelson,RB,TXSTSM,2.6,2.6,2.9,,,18,0.09,3,0.02,,,
Matt Bjorson,TE,IND,2.3,2.3,2.9,,,0,0,14,0.06,,,
SaRodorick Thompson,RB,TXTECH,2.6,2.6,2.9,,,12,0.09,5,0.02,,,
Kavika Johnson,WR,UTEP,2.4,2.4,2.9,,,3,0.02,11,0.07,,,
Tre'shaun Harrison,WR,FSU,2.3,2.3,2.9,,,2,0,9,0.1,,,
Farrod Green,TE,MISSST,2.3,2.3,2.9,,,0,0,13,0.07,,,
Terrance Dixon,WR,GAST,2.3,2.3,2.9,,,0,0,14,0.06,,,
Trevon Grimes,WR,FLA,2.1,2.1,2.9,,,0,0,11,0.05,,,
Jordan Nettles,RB,NILL,2.2,2.2,2.9,,,18,0.07,1,0.02,,,
John Raine,TE,FAU,2.1,2.1,2.9,,,0,0,11,0.05,,,
Alex Fontenot,RB,COLO,2.6,2.6,2.8,,,12,0.1,5,0.02,,,
Ray Hudson,TE,CAL,2.2,2.2,2.8,,,0,0,11,0.08,,,
Javonte Woodard,WR,LATECH,2.4,2.4,2.8,,,0,0,16,0.05,,,
Quan Hampton,WR,KANSAS,2.1,2.1,2.8,,,1,0,11,0.04,,,
Kyle Philips,WR,UCLA,2.1,2.1,2.8,,,0,0,10,0.07,,,
Deron Thompson,RB,KANSAS,2.5,2.5,2.8,,,16,0.08,3,0.01,,,
Osiris St. Brown,WR,STNFRD,2.3,2.3,2.8,,,0,0,15,0.05,,,
Roshauud Paul,WR,TXAM,2.2,2.2,2.8,,,0,0,14,0.04,,,
Solomon Enis,WR,UTAH,2.4,2.4,2.8,,,0,0,11,0.14,,,
Kamari Pleasant,RB,WASH,2.5,2.5,2.8,,,13,0.1,4,0.01,,,
Jordan Wright,RB,LALAF,2.6,2.6,2.8,,,14,0.09,3,0.03,,,
Kolby Taylor,WR,OREGST,2.2,2.2,2.8,,,0,0,14,0.03,,,
TJ Green,RB,UTAH,2.5,2.5,2.8,,,16,0.08,4,0.02,,,
Tre Walker,RB,NAVY,2.6,2.6,2.8,,,15,0.06,2,0.12,,,
Willie Parker,RB,EMICH,2.4,2.4,2.7,,,14,0.1,4,0.02,,,
Dymond Lee,WR,UCLA,2.1,2.1,2.7,,,0,0,11,0.06,,,
Trevion Armstrong,WR,NEVADA,2.2,2.2,2.7,,,0,0,8,0.13,,,
Nakia Robinson Jr.,RB,NCST,2.4,2.4,2.7,,,10,0.11,5,0.02,,,
Leon Payne,WR,NILL,2,2,2.7,,,0,0,10,0.05,,,
Nahshon Ellerbe,RB,RICE,2.5,2.5,2.7,,,14,0.14,3,0.01,,,
Tyler Harrell,WR,LVILLE,2.3,2.3,2.7,,,0,0,15,0.06,,,
Carson Terrell,TE,UTAHST,2.2,2.2,2.7,,,0,0,14,0.07,,,
C'yontai Lewis,TE,FLA,2.2,2.2,2.7,,,0,0,10,0.1,,,
Curtis Hodges,WR,ARIZST,1.7,1.7,2.7,,,0,0,13,0.05,,,
LD Brown,RB,OKLAST,2.4,2.4,2.7,,,13,0.08,5,0.02,,,
Ryan Newsome,WR,ARIZST,2.1,2.1,2.7,,,-1,0,15,0.05,,,
Stanley Clerveaux,WR,SFLA,2.1,2.1,2.7,,,0,0,11,0.06,,,
Elijah Dale,RB,HAWAII,2.4,2.4,2.7,,,9,0.03,4,0.13,,,
Brenden Fulton,WR,COLOST,2.2,2.2,2.6,,,0,0,13,0.06,,,
Trevon Sands,RB,SFLA,2.4,2.4,2.6,,,11,0.11,4,0.02,,,
Jesse Jackson,WR,MISSST,2,2,2.6,,,0,0,11,0.05,,,
Donta Anthony Jr.,TE,ODU,2,2,2.6,,,0,0,11,0.05,,,
Heron Maurisseau,WR,UCONN,1.9,1.9,2.6,,,0,0,9,0.06,,,
Michael Walker,WR,BC,1.6,1.6,2.6,,,2,0,12,0.07,,,
Myles Fells,RB,NAVY,2.4,2.4,2.5,,,14,0.12,1,0.01,,,
James Noble,RB,UAB,2.3,2.3,2.5,,,13,0.1,3,0.02,,,
Nick Gibson,RB,MISSST,2.1,2.1,2.5,,,10,0.06,6,0.01,,,
Chris James,RB,WISC,2.3,2.3,2.5,,,15,0.06,3,0.01,,,
Blake Wright,RB,NEVADA,2.2,2.2,2.5,,,10,0.13,3,0.01,,,
Brendan Manigo,RB,SJST,2.2,2.2,2.5,,,12,0.06,5,0.02,,,
Bryce Kemp,TE,EMICH,2,2,2.5,,,0,0,13,0.04,,,
De'Quan Bowman,WR,TXTECH,1.7,1.7,2.5,,,0,0,10,0.1,,,
Neil McLaurin,WR,USM,2,2,2.5,,,0,0,11,0.07,,,
Cee Jay Powell,WR,LATECH,1.9,1.9,2.5,,,0,0,9,0.05,,,
Dontea Jones,TE,MISSST,2,2,2.5,,,0,0,14,0.04,,,
Brayden Lenius,WR,WASH,1.9,1.9,2.5,,,0,0,10,0.05,,,
Ishod Finger,RB,CHARLO,2.3,2.3,2.5,,,15,0.07,3,0.01,,,
Wilson Huber,TE,CINCY,1.9,1.9,2.5,,,0,0,11,0.05,,,
Kene Nwangwu,RB,IOWAST,2.2,2.2,2.5,,,13,0.05,4,0.02,,,
Landen Akers,WR,IOWAST,2.1,2.1,2.5,,,0,0,14,0.05,,,
Rhett Cardwell,WR,RICE,1.8,1.8,2.5,,,0,0,9,0.05,,,
Trey Ellis,WR,VANDY,2,2,2.4,,,0,0,12,0.06,,,
Riley Lees,WR,NWEST,2,2,2.4,,,1,0,11,0.05,,,
Justin Johnson,TE,MISSST,1.9,1.9,2.4,,,0,0,11,0.04,,,
Roscoe Johnson,WR,UNC,1.9,1.9,2.4,,,0,0,11,0.04,,,
Tazh Maloy,RB,NAVY,2.2,2.2,2.4,,,14,0.09,1,0.01,,,
Deon Stewart,WR,ARK,1.9,1.9,2.4,,,0,0,12,0.04,,,
Trevion Thompson,WR,CLEM,1.8,1.8,2.4,,,0,0,11,0.04,,,
Daewood Davis,WR,OREG,1.9,1.9,2.4,,,0,0,10,0.07,,,
James Prather,TE,NWEST,1.8,1.8,2.4,,,0,0,10,0.04,,,
Jackson Winrow,WR,VANDY,1.9,1.9,2.4,,,0,0,12,0.06,,,
Jaeger Bull,TE,RICE,1.7,1.7,2.4,,,0,0,4,0.1,,,
Danny Dalton,TE,PSU,1.8,1.8,2.4,,,0,0,9,0.05,,,
Marcus Joyner,TE,ODU,1.9,1.9,2.4,,,0,0,11,0.05,,,
Isaiah Likely,TE,CSTCAR,2.1,2.1,2.4,,,0,0,10,0.12,,,
Julon Williams,WR,HOU,1.8,1.8,2.4,,,0,0,8,0.07,,,
Dylan Parham,TE,NCST,1.7,1.7,2.3,,,0,0,10,0.04,,,
Jake Bobo,WR,DUKE,1.9,1.9,2.3,,,0,0,12,0.05,,,
Kaegun Williams,RB,SDGST,0.7,0.7,2.3,,,22,0.13,3,0.02,,,
Deltron Sands,RB,AKRON,2,2,2.3,,,17,0.06,0,0.02,,,
Kwamie Lassiter II,WR,KANSAS,1.4,1.4,2.3,,,0,0,8,0.09,,,
Demarcus Kirk,RB,GAST,2,2,2.3,,,11,0.08,2,0.02,,,
Prather Hudson,RB,UGA,2.1,2.1,2.3,,,11,0.09,3,0.02,,,
Kansas State,DEF,KSTATE,5,2.2,2.2,,,0,0,0,0,42.9,1.09,0.66
Tre Miller,RB,UTAHST,2,2,2.2,,,10,0.09,2,0.02,,,
Terry Mark,WR,HOU,1,1,2.2,,,0,0,9,0.07,,,
Steven Claude,WR,WAKE,1.8,1.8,2.2,,,0,0,12,0.05,,,
Chuck Wade,WR,WAKE,1.6,1.6,2.2,,,0,0,11,0.05,,,
Keegan Cossou,TE,CMICH,1.5,1.5,2.2,,,0,0,5,0.06,,,
Keshaun McGaugh,RB,CHARLO,2,2,2.1,,,4,0.19,3,0.01,,,
Kyle Markway,TE,SC,1.8,1.8,2.1,,,0,0,10,0.07,,,
Miles Reed,RB,HAWAII,1.9,1.9,2.1,,,11,0.03,4,0.01,,,
Brandon Sinclair,RB,ODU,1.8,1.8,2.1,,,9,0.08,4,0.02,,,
Jarrett Burgess,WR,PURDUE,1.2,1.2,2.1,,,0,0,12,0.04,,,
Morian Walker Jr.,RB,UTAHST,1.9,1.9,2.1,,,7,0.09,4,0.02,,,
Chabastin Taylor,WR,KSTATE,1.6,1.6,2.1,,,0,0,7,0.05,,,
Devonte Lee,RB,NEVADA,1.8,1.8,2.1,,,6,0.12,3,0.01,,,
Erik Ezukanma,WR,TXTECH,1.5,1.5,2.1,,,0,0,7,0.05,,,
Bronson Boyd,WR,UTAH,1.4,1.4,2.1,,,0,0,14,0.04,,,
Ryan Haymaker,RB,OKLAST,1.8,1.8,2.1,,,7,0.07,5,0.02,,,
Weston Bridges,RB,MICHST,1.8,1.8,2,,,8,0.08,3,0.01,,,
Markenzy Pierre,RB,CUSE,1.7,1.7,2,,,9,0.07,3,0.02,,,
Christian Mallard,RB,AF,1.9,1.9,2,,,12,0.09,2,0.01,,,
Adarius Lemons,RB,FLA,1.8,1.8,2,,,12,0.04,3,0.01,,,
Kwame Etwi,RB,TXAM,1.8,1.8,2,,,8,0.06,4,0.01,,,
Will Drawdy,RB,WAKE,1.8,1.8,2,,,6,0.09,4,0.02,,,
Greyson Bankhead,WR,CAL,1.5,1.5,2,,,0,0,8,0.04,,,
Cody Scherff,TE,UNLV,1.3,1.3,1.9,,,0,0,4,0.06,,,
Dom Williams,RB,KANSAS,1.7,1.7,1.9,,,10,0.05,3,0.01,,,
B.J. Baylor,RB,OREGST,1.6,1.6,1.9,,,9,0.1,1,0.01,,,
Keoni-Kordell Mahekau,RB,NAVY,1.7,1.7,1.8,,,10,0.06,2,0.01,,,
Andrew Smith,WR,AF,1.5,1.5,1.8,,,0,0,10,0.04,,,
Henry Geil,RB,IOWA,1.5,1.5,1.7,,,8,0.05,3,0.01,,,
Giovanni Gentosi,RB,RICE,1.5,1.5,1.7,,,8,0.04,3,0.01,,,
Tanner Morgan,QB,MINN,0.8,0.8,0.8,30,0.06,0,0,0,0,,,
